,NO2,SO2,sample
6688,12.8,0.55,12
7025,29.5,2.4000000000000004,12
6699,15.95,0.75,12
7032,63.6,3.4,12
7031,66.2,2.1,12
6693,14.0,0.05,12
6692,16.1,0.525,12
7047,33.1,2.8,12
7032,63.6,3.4,12
7041,17.6,1.65,12
7017,66.7,2.35,12
7017,66.7,2.35,12
7036,16.3,1.45,12
7021,22.3,1.4,12
6702,16.95,2.175,12
6677,16.3,0.0,12
7039,17.1,1.25,12
6692,16.1,0.525,12
7020,23.4,5.5,12
6685,19.3,1.15,12
6694,13.2,0.45,12
7047,33.1,2.8,12
7027,19.9,5.449999999999998,12
7047,33.1,2.8,12
6695,28.9,0.1,12
6701,12.8,0.475,12
6681,20.75,6.425,12
6676,4.0,0.0,12
7046,34.6,2.15,12
7044,22.0,3.3,13
7027,19.9,5.449999999999998,13
6701,12.8,0.475,13
6678,29.8,0.45,13
6677,16.3,0.0,13
6679,21.8,0.9,13
7037,18.7,1.9,13
6697,16.6,0.275,13
7044,22.0,3.3,13
6689,17.1,0.025,13
7021,22.3,1.4,13
6697,16.6,0.275,13
7021,22.3,1.4,13
7026,27.4,2.55,13
6675,6.8,0.0,13
7039,17.1,1.25,13
7045,19.4,1.5,13
6684,55.5,2.25,13
7040,15.5,1.5499999999999998,13
6695,28.9,0.1,13
7040,15.5,1.5499999999999998,13
6702,16.95,2.175,13
6693,14.0,0.05,13
7025,29.5,2.4000000000000004,13
6689,17.1,0.025,13
7019,36.0,3.7,13
6694,13.2,0.45,13
7024,23.2,2.2,13
7032,63.6,3.4,13
7022,16.8,2.45,13
7043,26.4,2.8,13
7032,63.6,3.4,13
6672,21.2,0.425,13
7044,22.0,3.3,13
7027,19.9,5.449999999999998,13
6691,17.450000000000006,0.9,13
7032,63.6,3.4,13
6696,13.65,0.95,13
6677,16.3,0.0,13
7037,18.7,1.9,13
6701,12.8,0.475,13
6691,17.450000000000006,0.9,13
6680,32.6,0.7,13
7041,17.6,1.65,13
7033,17.2,1.9,13
7034,18.7,4.5,13
6689,17.1,0.025,13
7025,29.5,2.4000000000000004,13
6674,64.15,2.45,13
7021,22.3,1.4,13
6677,16.3,0.0,13
7029,61.5,2.25,13
7023,24.1,1.8,13
6672,21.2,0.425,13
6690,14.5,0.575,13
7023,24.1,1.8,13
6699,15.95,0.75,13
7032,63.6,3.4,13
6680,32.6,0.7,13
7032,63.6,3.4,13
6681,20.75,6.425,13
6695,28.9,0.1,13
6697,16.6,0.275,14
6679,21.8,0.9,14
6676,4.0,0.0,14
6684,55.5,2.25,14
6693,14.0,0.05,14
7019,36.0,3.7,14
6696,13.65,0.95,14
6694,13.2,0.45,14
7026,27.4,2.55,14
7033,17.2,1.9,14
6692,16.1,0.525,14
6674,64.15,2.45,14
6679,21.8,0.9,14
7031,66.2,2.1,14
7035,19.8,1.9,14
7047,33.1,2.8,14
7024,23.2,2.2,14
7036,16.3,1.45,14
7024,23.2,2.2,14
6693,14.0,0.05,14
7030,65.7,2.6,14
6682,21.85,0.0,14
6694,13.2,0.45,14
7034,18.7,4.5,14
6687,20.35,1.7999999999999998,14
7037,18.7,1.9,14
7045,19.4,1.5,14
7036,16.3,1.45,14
6699,15.95,0.75,14
7020,23.4,5.5,14
7027,19.9,5.449999999999998,14
6700,26.0,0.825,14
7044,22.0,3.3,14
7041,17.6,1.65,14
7023,24.1,1.8,14
6677,16.3,0.0,14
7034,18.7,4.5,14
6685,19.3,1.15,14
6700,26.0,0.825,14
7034,18.7,4.5,14
7047,33.1,2.8,14
6699,15.95,0.75,14
6681,20.75,6.425,14
7031,66.2,2.1,14
7032,63.6,3.4,14
6675,6.8,0.0,14
6695,28.9,0.1,14
6673,33.85,1.1,14
7031,66.2,2.1,14
7044,22.0,3.3,14
6700,26.0,0.825,14
6696,13.65,0.95,14
6702,16.95,2.175,14
7032,63.6,3.4,14
7036,16.3,1.45,14
7031,66.2,2.1,14
6686,18.05,0.25,14
7023,24.1,1.8,14
7018,57.4,7.800000000000002,14
7035,19.8,1.9,14
7034,18.7,4.5,14
6679,21.8,0.9,14
7025,29.5,2.4000000000000004,15
6687,20.35,1.7999999999999998,15
7023,24.1,1.8,15
7029,61.5,2.25,15
7026,27.4,2.55,15
7019,36.0,3.7,15
6677,16.3,0.0,15
7024,23.2,2.2,15
7025,29.5,2.4000000000000004,15
7034,18.7,4.5,15
6694,13.2,0.45,15
7038,22.7,1.7,15
7035,19.8,1.9,15
6692,16.1,0.525,15
7020,23.4,5.5,15
7032,63.6,3.4,15
6700,26.0,0.825,15
7020,23.4,5.5,15
6673,33.85,1.1,15
7018,57.4,7.800000000000002,15
6697,16.6,0.275,15
7029,61.5,2.25,15
7017,66.7,2.35,15
6689,17.1,0.025,15
7019,36.0,3.7,15
6701,12.8,0.475,15
7029,61.5,2.25,15
6694,13.2,0.45,15
7033,17.2,1.9,15
7040,15.5,1.5499999999999998,15
6691,17.450000000000006,0.9,15
7031,66.2,2.1,15
7043,26.4,2.8,15
6694,13.2,0.45,15
7025,29.5,2.4000000000000004,15
6679,21.8,0.9,15
6685,19.3,1.15,15
7045,19.4,1.5,15
6694,13.2,0.45,15
7031,66.2,2.1,15
6685,19.3,1.15,15
6673,33.85,1.1,15
7043,26.4,2.8,15
6675,6.8,0.0,15
6695,28.9,0.1,15
7036,16.3,1.45,15
7021,22.3,1.4,15
6680,32.6,0.7,15
6687,20.35,1.7999999999999998,15
7017,66.7,2.35,15
7017,66.7,2.35,15
6698,17.65,1.125,15
6686,18.05,0.25,15
7034,18.7,4.5,15
6675,6.8,0.0,15
7021,22.3,1.4,15
7043,26.4,2.8,15
6696,13.65,0.95,15
6686,18.05,0.25,15
7045,19.4,1.5,15
6683,30.1,1.175,15
6678,29.8,0.45,15
7021,22.3,1.4,16
6695,28.9,0.1,16
6677,16.3,0.0,16
7033,17.2,1.9,16
7026,27.4,2.55,16
7045,19.4,1.5,16
7030,65.7,2.6,16
6702,16.95,2.175,16
6692,16.1,0.525,16
7045,19.4,1.5,16
6682,21.85,0.0,16
6687,20.35,1.7999999999999998,16
6685,19.3,1.15,16
6696,13.65,0.95,16
6685,19.3,1.15,16
7023,24.1,1.8,16
6689,17.1,0.025,16
6685,19.3,1.15,16
6695,28.9,0.1,16
7036,16.3,1.45,16
6679,21.8,0.9,16
7030,65.7,2.6,16
6696,13.65,0.95,16
7019,36.0,3.7,16
7030,65.7,2.6,16
7029,61.5,2.25,16
6699,15.95,0.75,16
6695,28.9,0.1,16
6689,17.1,0.025,16
7042,9.0,2.1,16
7019,36.0,3.7,16
7027,19.9,5.449999999999998,16
6674,64.15,2.45,16
6683,30.1,1.175,16
7021,22.3,1.4,16
6676,4.0,0.0,16
6690,14.5,0.575,16
6683,30.1,1.175,16
6698,17.65,1.125,16
6688,12.8,0.55,16
7028,54.6,3.95,16
6699,15.95,0.75,16
7025,29.5,2.4000000000000004,16
