Date,Open,High,Low,Close,Adj Close,Volume,Jday,DayCount
2013-05-22,15387.120116999999,15542.400391,15265.959961000002,15307.169922,15307.169922,171850000,2456434.5,1967.0
2013-05-23,15300.570313,15348.410156,15180.230469,15294.5,15294.5,148810000,2456435.5,1968.0
2013-05-24,15290.740234,15306.709961000002,15199.629883000001,15303.099609,15303.099609,105660000,2456436.5,1969.0
2013-05-28,15307.330078,15521.490234,15307.330078,15409.389647999998,15409.389647999998,130680000,2456440.5,1973.0
2013-05-29,15399.94043,15400.25,15229.530272999998,15302.799805,15302.799805,114020000,2456441.5,1974.0
2013-05-30,15306.019531,15398.700195,15280.990234,15324.530272999998,15324.530272999998,121150000,2456442.5,1975.0
2013-05-31,15322.219727000002,15392.379883000001,15115.570313,15115.570313,15115.570313,208830000,2456443.5,1976.0
2013-06-03,15123.549805,15254.110352000002,15123.549805,15254.030272999998,15254.030272999998,147980000,2456446.5,1979.0
2013-06-04,15255.219727000002,15304.980469,15100.780272999998,15177.540038999998,15177.540038999998,134280000,2456447.5,1980.0
2013-06-05,15168.099609,15168.629883000001,14945.570313,14960.589844,14960.589844,141400000,2456448.5,1981.0
2013-06-06,14955.450195,15040.620116999999,14844.219727000002,15040.620116999999,15040.620116999999,140410000,2456449.5,1982.0
2013-06-07,15044.459961000002,15255.580078,15044.459961000002,15248.120116999999,15248.120116999999,137380000,2456450.5,1983.0
2013-06-10,15247.80957,15300.639647999998,15211.25,15238.589844,15238.589844,94250000,2456453.5,1986.0
2013-06-11,15231.379883000001,15251.070313,15086.089844,15122.019531,15122.019531,101610000,2456454.5,1987.0
2013-06-12,15130.389647999998,15241.280272999998,14981.209961000002,14995.230469,14995.230469,105770000,2456455.5,1988.0
2013-06-13,14992.540038999998,15202.269531,14953.450195,15176.080078,15176.080078,104490000,2456456.5,1989.0
2013-06-14,15178.080078,15205.919922,15044.799805,15070.179688,15070.179688,107430000,2456457.5,1990.0
2013-06-17,15078.709961000002,15261.709961000002,15078.709961000002,15179.849609,15179.849609,139250000,2456460.5,1993.0
2013-06-18,15186.299805,15340.089844,15186.299805,15318.230469,15318.230469,99210000,2456461.5,1994.0
2013-06-19,15315.469727000002,15322.070313,15112.110352000002,15112.19043,15112.19043,111380000,2456462.5,1995.0
2013-06-20,15105.509766,15105.509766,14732.030272999998,14758.320313,14758.320313,172630000,2456463.5,1996.0
2013-06-21,14760.620116999999,14858.55957,14688.429688,14799.400391,14799.400391,420080000,2456464.5,1997.0
2013-06-24,14795.790038999998,14795.790038999998,14551.269531,14659.55957,14659.55957,158670000,2456467.5,2000.0
2013-06-25,14669.69043,14812.030272999998,14669.69043,14760.30957,14760.30957,135940000,2456468.5,2001.0
2013-06-26,14769.990234,14938.980469,14769.679688,14910.139647999998,14910.139647999998,133230000,2456469.5,2002.0
2013-06-27,14921.280272999998,15075.009766,14921.280272999998,15024.490234,15024.490234,113650000,2456470.5,2003.0
2013-06-28,15016.580078,15034.629883000001,14884.799805,14909.599609,14909.599609,230000000,2456471.5,2004.0
2013-07-01,14911.599609,15083.280272999998,14911.599609,14974.959961000002,14974.959961000002,120570000,2456474.5,2007.0
2013-07-02,14974.959961000002,15049.219727000002,14870.509766,14932.410156,14932.410156,116610000,2456475.5,2008.0
2013-07-03,14923.730469,15025.900391,14858.929688,14988.370116999999,14988.370116999999,61000000,2456476.5,2009.0
2013-07-05,14995.459961000002,15137.509766,14971.200195,15135.839844,15135.839844,94560000,2456478.5,2011.0
2013-07-08,15137.219727000002,15262.719727000002,15137.219727000002,15224.69043,15224.69043,136820000,2456481.5,2014.0
2013-07-09,15228.459961000002,15320.419922,15228.459961000002,15300.339844,15300.339844,109270000,2456482.5,2015.0
2013-07-10,15298.030272999998,15348.950195,15258.889647999998,15291.660156,15291.660156,105050000,2456483.5,2016.0
2013-07-11,15298.0,15483.549805,15298.0,15460.919922,15460.919922,124950000,2456484.5,2017.0
2013-07-12,15460.69043,15498.389647999998,15410.269531,15464.299805,15464.299805,130140000,2456485.5,2018.0
2013-07-15,15459.69043,15509.480469,15455.769531,15484.259766,15484.259766,99430000,2456488.5,2021.0
2013-07-16,15485.030272999998,15498.160156,15415.709961000002,15451.849609,15451.849609,105970000,2456489.5,2022.0
2013-07-17,15456.919922,15502.0,15438.120116999999,15470.519531,15470.519531,126240000,2456490.5,2023.0
2013-07-18,15465.910156,15589.400391,15465.910156,15548.540038999998,15548.540038999998,136270000,2456491.5,2024.0
