,permit,city,state,zip,district,date_issued,lat,lng
0,288.0,Nashville,TN,37211,30.0,11/26/2014,36.029132,-86.724578
1,435.0,Nashville,TN,37211,19.0,05/18/2015,36.069132,-86.754578
2,270.0,Nashville,TN,37216,7.0,11/20/2014,36.236134,-86.711204
3,249.0,Nashville,TN,37216,25.0,12/29/2014,36.246134,-86.751204
4,200.0,Nashville,TN,37221,22.0,12/10/2014,36.029367,-86.935290
5,473.0,Nashville,TN,37205,24.0,11/19/2015,36.082469,-86.912263
6,446.0,Nashville,TN,37205,23.0,06/10/2015,36.137469,-86.847263
7,301.0,Nashville,TN,37205,23.0,01/07/2015,36.092469,-86.862263
8,316.0,Nashville,TN,37206,6.0,12/10/2014,36.220950,-86.769624
9,302.0,Nashville,TN,37206,6.0,04/14/2014,36.175950,-86.714624
10,229.0,Nashville,TN,37217,13.0,08/05/2013,36.101646,-86.647608
11,331.0,Nashville,TN,37076,12.0,03/12/2015,36.150185,-86.598300
12,89.0,Nashville,TN,37205,23.0,01/29/2013,36.097469,-86.897263
13,42.0,Nashville,TN,37215,16.0,11/26/2014,36.076316,-86.797959
14,135.0,Nashville,TN,37206,6.0,01/26/2015,36.225950,-86.694624
15,305.0,Nashville,TN,37013,29.0,11/18/2014,36.064335,-86.636832
16,411.0,Nashville,TN,37216,6.0,11/19/2015,36.171134,-86.706204
17,338.0,Nashville,TN,37209,24.0,12/04/2015,36.184599,-86.854487
18,259.0,Nashville,TN,37212,19.0,11/18/2014,36.158256,-86.846456
19,278.0,Nashville,TN,37205,23.0,11/21/2014,36.112469,-86.847263
20,144.0,Nashville,TN,37207,5.0,12/29/2014,36.214945,-86.810061
21,208.0,Nashville,TN,37205,24.0,05/20/2013,36.137469,-86.837263
22,119.0,Nashville,TN,37211,27.0,02/13/2015,36.049132,-86.744578
23,420.0,Nashville,TN,37217,11.0,11/30/2015,36.121646,-86.712608
24,63.0,Nashville,TN,37217,6.0,01/30/2015,36.086646,-86.642608
25,425.0,Nashville,TN,37013,21.0,04/28/2015,36.019335,-86.606832
26,303.0,Nashville,TN,37138,11.0,04/18/2014,36.254455,-86.611783
27,441.0,Nashville,TN,37209,20.0,05/29/2015,36.119599,-86.869487
28,429.0,Nashville,TN,37216,7.0,04/29/2015,36.246134,-86.696204
29,,Nashville,TN,37220,25.0,01/08/2015,36.067880,-86.776955
30,202.0,Nashville,TN,37206,6.0,10/26/2012,36.165950,-86.739624
31,240.0,Nashville,TN,37204,17.0,11/30/2015,36.149305,-86.806748
32,248.0,Nashville,TN,37206,6.0,01/23/2014,36.140950,-86.694624
33,287.0,Nashville,TN,37215,25.0,12/01/2015,36.096316,-86.812959
34,175.0,Nashville,TN,37215,34.0,06/12/2012,36.076316,-86.847959
35,442.0,Nashville,TN,37013,29.0,06/01/2015,36.094335,-86.681832
36,486.0,Nashville,TN,37215,20.0,10/14/2015,36.051316,-86.797959
37,427.0,Nashville,TN,37218,1.0,04/29/2015,36.230699,-86.881798
38,46.0,Nashville,TN,37013,29.0,03/11/2015,36.014335,-86.651832
39,332.0,Nashville,TN,37211,27.0,12/16/2014,36.049132,-86.704578
40,100.0,Nashville,TN,37216,7.0,02/06/2015,36.236134,-86.706204
41,417.0,Nashville,TN,37205,23.0,04/09/2015,36.072469,-86.862263
42,275.0,Nashville,TN,37211,16.0,03/08/2012,36.034132,-86.734578
43,355.0,Nashville,TN,37209,24.0,02/13/2015,36.109599,-86.844487
44,246.0,Nashville,TN,37215,34.0,01/06/2015,36.086316,-86.787959
45,322.0,Nashville,TN,37208,19.0,12/03/2014,36.156427,-86.810176
46,326.0,Nashville,TN,37212,18.0,12/31/2014,36.113256,-86.791456
47,341.0,Nashville,TN,37211,30.0,10/08/2014,36.114132,-86.739578
48,349.0,Nashville,TN,37209,20.0,01/27/2015,36.144599,-86.919487
49,186.0,Nashville,TN,37138,11.0,12/03/2004,36.254455,-86.656783
50,476.0,Nashville,TN,37206,5.0,09/03/2015,36.210950,-86.784624
51,3277.0,Nashville,TN,37209,20.0,11/26/2014,36.164599,-86.914487
52,230.0,Nashville,TN,37214,15.0,08/05/2013,36.158995,-86.692231
53,308.0,Nashville,TN,37076,12.0,12/29/2014,36.215185,-86.598300
54,65.0,Nashville,TN,37211,8.0,02/13/2015,36.094132,-86.734578
55,305.0,Nashville,TN,37013,33.0,12/04/2015,36.064335,-86.611832
56,237.0,Nashville,TN,37215,25.0,12/03/2014,36.111316,-86.862959
57,282.0,Nashville,TN,37217,13.0,12/01/2014,36.091646,-86.682608
58,302.0,Nashville,TN,37211,16.0,08/25/2014,36.064132,-86.734578
59,69.0,Nashville,TN,37218,1.0,11/19/2014,36.250699,-86.876798
60,335.0,Nashville,TN,37221,0.0,02/05/2015,36.089367,-87.005290
61,271.0,Nashville,TN,37220,26.0,11/30/2015,36.092880,-86.786955
62,360.0,Nashville,TN,37220,4.0,12/10/2014,36.052880,-86.766955
63,273.0,Nashville,TN,37211,4.0,11/30/2015,36.034132,-86.744578
64,88.0,Nashville,TN,37216,7.0,01/27/2015,36.201134,-86.681204
65,223.0,Nashville,TN,37138,11.0,07/08/2013,36.219455,-86.596783
66,261.0,Nashville,TN,37204,25.0,12/29/2014,36.069305,-86.746748
67,5.0,Nashville,TN,37206,,03/12/2015,36.200950,-86.754624
68,201.0,Nashville,TN,37209,24.0,03/12/2015,36.149599,-86.829487
69,451.0,Nashville,TN,37115,8.0,06/15/2015,36.247567,-86.699171
70,147.0,Nashville,TN,37203,13.0,01/06/2015,36.110195,-86.770206
71,401.0,Nashville,TN,37203,30.0,02/13/2015,36.115195,-86.815206
72,461.0,Nashville,TN,37205,23.0,11/19/2015,36.112469,-86.857263
73,445.0,Nashville,TN,37204,25.0,05/15/2015,36.094305,-86.821748
74,332.0,Nashville,TN,37220,26.0,12/29/2014,36.092880,-86.776955
75,308.0,Nashville,TN,37214,15.0,03/18/2015,36.163995,-86.682231
76,,Nashville,TN,37211,26.0,12/08/2014,36.064132,-86.764578
77,434.0,Nashville,TN,37027,4.0,05/08/2015,35.977450,-86.778709
78,428.0,Nashville,TN,37204,17.0,04/29/2015,36.129305,-86.771748
79,214.0,Nashville,TN,37214,15.0,02/13/2015,36.208995,-86.622231
80,318.0,Nashville,TN,37214,14.0,03/29/2012,36.133995,-86.667231
81,319.0,Nashville,TN,37208,21.0,03/18/2015,36.186427,-86.815176
82,153.0,Nashville,TN,37209,24.0,11/30/2015,36.184599,-86.829487
83,468.0,Nashville,TN,37206,6.0,07/23/2015,36.150950,-86.774624
84,470.0,Nashville,TN,37205,23.0,08/11/2015,36.137469,-86.822263
85,61.0,Nashville,TN,37216,7.0,12/29/2014,36.221134,-86.766204
86,251.0,Nashville,TN,37205,23.0,11/14/2014,36.087469,-86.827263
87,210.0,Nashville,TN,37211,26.0,04/17/2012,36.069132,-86.719578
